lambda,dipolpol
0.449999988,3.985531416
0.450949988,3.992050105
0.451899988,3.998513467
0.452849988,4.004921654
0.453799988,4.011274825
0.454749988,4.017573136
0.455699988,4.023816752
0.456649988,4.030005837
0.457599988,4.036140558
0.458549988,4.042221088
0.459499988,4.048247598
0.460449988,4.054220266
0.461399988,4.060139269
0.462349988,4.06600479
0.463299988,4.071817013
0.464249988,4.077576124
0.465199988,4.083282312
0.466149988,4.088935768
0.467099988,4.094536688
0.468049988,4.100085266
0.468999988,4.105581701
0.469949988,4.111026195
0.470899988,4.116418951
0.471849988,4.121760174
0.472799988,4.127050071
0.473749988,4.132288853
0.474699988,4.13747673
0.475649988,4.142613918
0.476599988,4.147700631
0.477549988,4.152737088
0.478499988,4.157723508
0.479449988,4.162660113
0.480399988,4.167547127
0.481349988,4.172384774
0.482299988,4.177173282
0.483249988,4.181912879
0.484199988,4.186603797
0.485149988,4.191246267
0.486099988,4.195840522
0.487049988,4.2003868
0.487999988,4.204885336
0.488949988,4.209336368
0.489899988,4.213740137
0.490849988,4.218096885
0.491799988,4.222406853
0.492749988,4.226670286
0.493699988,4.230887429
0.494649988,4.235058529
0.495599988,4.239183834
0.496549987,4.243263594
0.497499987,4.247298057
0.498449987,4.251287477
0.499399987,4.255232106
0.500349987,4.259132196
0.501299987,4.262988004
0.502249987,4.266799785
0.503199987,4.270567795
0.504149987,4.274292292
0.505099987,4.277973535
0.506049987,4.281611783
0.506999987,4.285207296
0.507949987,4.288760336
0.508899987,4.292271164
0.509849987,4.295740044
0.510799987,4.299167237
0.511749987,4.302553008
0.512699987,4.305897623
0.513649987,4.309201345
0.514599987,4.312464441
0.515549987,4.315687177
0.516499987,4.31886982
0.517449987,4.322012638
0.518399987,4.325115898
0.519349987,4.328179868
0.520299987,4.331204817
0.521249987,4.334191015
0.522199987,4.33713873
0.523149987,4.340048232
0.524099987,4.342919792
0.525049987,4.345753679
0.525999987,4.348550164
0.526949987,4.351309517
0.527899987,4.354032009
0.528849987,4.356717912
0.529799987,4.359367496
0.530749987,4.361981033
0.531699987,4.364558793
0.532649987,4.367101049
0.533599987,4.36960807
0.534549987,4.37208013
0.535499987,4.374517498
0.536449987,4.376920446
0.537399987,4.379289244
0.538349987,4.381624165
0.539299987,4.383925479
0.540249987,4.386193456
0.541199987,4.388428368
0.542149987,4.390630483
0.543099987,4.392800073
0.544049987,4.394937406
0.544999987,4.397042754
0.545949987,4.399116384
0.546899987,4.401158565
0.547849987,4.403169567
